,,,,,64,168,20,21,22,504,835,786,787,5,271,8,506,509,510,513,581,582,583,369,445,225,163,164,165,
Kadokawa Corp.,146,JPN,,JPY,1696,1565,0,0,,0,0,,,21.69,0.01,,,,,2124,45.9,54.1,,,25,,,,,11.07237291
Kajima Corp,30,JPN,2021,JPY,7989,13.49,,,,0.16,0.01,,,779,57.74,1020,75.6,,,7989,,,,4.6,8.33,,,,,0.09545822198
Kakaku.com Inc,148,JPN,,JPY,1301,365.93,,,,,,,,,,,,,,1301,45.8,54.2,,,11.11,,,,,2.588949513
Kakao Corp,127,KOR,2021,KRW,3472,1969.43,0,0.08,0,0.09,0,99.4,0.6,494.2,0.25,12690,6.44,,,3472,43.61,56.39,,9.5,28.57,,,,,1.453003232
Kakao Games Corp,147,KOR,2021,KRW,433,747.05,,,,,,,,,,,,,,433,38.57,61.43,,,0,,,,,0.5511600306
KakaoBank Corp,107,KOR,2021,KRW,1031,785.75,,,,,,,,,,,,,,1031,47.24,52.76,,,0,,,,,0.5797131056
Kalbe Farma Tbk PT,104,IDN,2021,IDR,16235,1674.52,0.02,0.07,,0.09,0,98.27,1.73,214.41,0.13,,,1088.63,0.65,16235,32.84,67.16,,3.4,0,21155.73,,,,0.1067702591
Kangwon Land Inc,66,KOR,,KRW,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.000007024496297
Kansai Electric Power Co Inc,150,JPN,2021,JPY,17739,30.92,28.57,0.01,32.12,60.69,0.92,,,137234.72,4438.83,4230,136.82,,,17739,8.1,91.9,,0.58,14.29,,,,,0.2187365267
Kansai Paint Co,14,JPN,2021,JPY,15908,2579.61,"
",,,0.03,,,,208.61,0.08,346.3,0.13,,,15908,17,83,,,8.33,,,,,18.25073509
Kao Corp,94,JPN,2022,JPY,33507,10037.73,,,,,,,,5138.89,0.51,17300,1.72,,,33507,50.5,49.5,,,22.22,,,,,71.0167927
Kasikornbank,107,THA,2021,THB,31706,4963.35,0.01,0.07,,0.08,0,95.62,4.38,186.56,0.04,282.59,0.06,1829.26,0.37,31706,70.03,29.97,,6.77,38.89,,,,,137.3387545
Kawasaki Heavy Industries,32,JPN,2021,JPY,17396,2672.15,0.14,0.26,123.61,124.01,0,99.93,0.07,2351.42,0.88,5633,2.11,16,0.01,17396,8.74,91.26,,,15.38,,,,,18.90544305
Kawasaki Kisen Kaisha,52,JPN,2021,JPY,769,4425.29,8.35,0.02,1.11,9.48,0,,,,0,,0,,0,769,25.88,74.12,,,6.9,,,,,31.30885525
Edison Intl,149,USA,2021,USD,13003,15000,1,0.8,11.6,13.4,0,,,,,,,7655,0.51,13003,32,68,,7.5,56.25,,,,,15000
Edwards Lifesciences Corp,95,USA,2020,USD,14900,4386,0.01,0.03,0.03,0.08,0,83.67,16.33,163.87,0.04,576.22,0.13,1924.64,0.44,,59,41,,,,100,51.2,,,4386
Eicher Motors Ltd,53,IND,2020,INR,9039,1121.09,,,,0.07,0,,45.92,139.64,7.81,230.41,,1195,0.01,8217,10,90,,3.18,,55.39,45,,,13.72751627
Eiffage,27,FRA,2022,EUR,,16.73,,,25.87,26.66,0.05,,,,,,,,,,0,0,,,,,,,,17.16656346
Eisai Co,95,JPN,2021,JPY,11237,4569.91,0.04,0.03,0.49,0.56,0,,,,,3018,0,,,11237,40,60,,,,,,,,32.33206168
Elan Microelectronics Corp,124,TWN,2020,TWD,1167,504.31,0,0,0,0,0,,,5.84,0,23.48,0,7.21,0,1167,42,58,,19.6,12.5,,,,,16.18275915
Elanco Animal Health Inc.,95,USA,2020,USD,10200,3273,0.18,0.32,,0.49,0,,,1341,0.41,1925,0,8207.81,2.51,,0,0,,,,,,,,3273
Elang Mahkota Teknologi Tbk PT,138,IDN,2021,IDR,6497,0.82,0,0.02,,0.02,0.02,,,19.99,0,60.05,0,,,8715,42.79,57.21,,13.11,,,,,,0.00005220489171
Elastic N.V.,124,USA,2021,USD,2978,862.4,,,,,,,,,,,,,,,31,68,,,49.93,,,,,862.4
Elbit Systems Ltd,27,ISR,2020,USD,14480,4663,0.02,0.1,0.05,0.17,0,,,357.02,0.08,,,36363.04,7.8,15019,24,76,,9.3,,,,,,4663
Elders Ltd,82,AUS,2021,AUD,2405,1689.39,0.06,0.01,,0.06,0,,,78.48,0.03,185,0.16,,,2378,42,58,,,100,,,,,1119.582758
Electric Power Development Co,149,JPN,2021,JPY,7156,6432.01,51.11,0.16,13.61,64.88,0.01,,,,,6800,0,,,7156,12,88,,2.5,5.89,,,,,45.50640751
Electrocomponents,27,GBR,2022,GBP,7654,3033.4,0,0,,0.01,0,59,41,47.4,0.02,31.8,0.01,80,0.03,7654,50,50,,13.1,78.57,,,,,3603.087422
Electrolux AB B,53,SWE,2021,SEK,39238,11740.49,0.08,0.02,,0.1,0,44.51,55.49,1047.4,0.01,17,,2400,0.02,45862,39,61,,17,60,,592,,42919,1097.171996
Electronic Arts,138,USA,2021,USD,11000,5629,,,,,,,,95.31,0.02,123.89,0.02,,,11000,44,56,,,,,,,,5629
Elekta B,95,SWE,2022,SEK,4781,1359.54,0,0,0.83,0.83,0,60.44,39.56,14.58,0,,,5.49,0,4826,29,61,,,74.83,,,,,127.0519076
American Tower Corp A,157,USA,2021,USD,5894,9356.9,0.64,0.49,3.65,4.77,0,2.9,97.1,3392.13,0.36,,,,,6000,27,73,,,38,,,,,9356.9
American Water Works Co Inc,153,USA,2021,USD,6441,3384,0.08,0.46,,0.53,0,99.73,0.27,1406.6,0.42,368.43,0.11,,,6441,24,76,,13,,,,,,3384
Americanas SA,73, BRA,2021,BRL,44481,6004,0,0.03,0.07,0.11,0,15.6,88.4,297.22,0.05,224,0.04,0.2,0,44481,53.63,46.37,,9.99,28.57,,,,,1121.829033
Americold Realty Trust,164,USA,2021,USD,16275,2085387,0.03,0.55,0.02,0.6,0,74.37,25.63,1473.53,0,3600.11,0,,,16275,37,63,,,20,,,,,2085387
AmerisourceBergen Corp,98,USA,2021,USD,42000,200000,0.11,0.1,0.05,0.26,0,81,19,711.07,0,1307.83,0.01,1829,0.01,42000,57,43,,24,30,,,,,200000
Amphenol Corp A,135,USA,2021,USD,90000,10876,0.04,0.36,0.41,0.81,0,86,14,868.97,0.08,563,0.05,6732,0.62,90000,48,52,, ,28,,,,,10876
Amplifon SpA,99,ITA,2021,EUR,18600,1999.09,0.01,0.01,0,0.01,0,83.7,16.3,54.31,0.03,266,0.13,19.15,0.01,18605,72.4,27.6,,,33.33,,,,,2051.667624
Ampol Ltd,6,AUS,2021,AUD,8382,14335.54,0.55,0.23,34.95,35.73,0,,,50247.48,3.51,3275.73,0.23,22023,1.54,8382,41.9,58.1,,,37.9,,,,,9500.377837
Analog Devices Inc,136,USA,2021,USD,25000,7300,0.16,0.18,,0.34,0,64.54,35.46,535.86,0.07,3450.51,0.47,1455,0.2,25000,40,60,,,33,,,,,7300
