"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
72,,,,24,"App\Models\Tenant\QuestionOptions\Simple",40,,5,2,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
73,,,,24,"App\Models\Tenant\QuestionOptions\Simple",41,,5,3,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
74,,,,25,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
75,,,,25,"App\Models\Tenant\QuestionOptions\Simple",3,4,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
76,,,,26,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"5.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
77,,,,26,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
78,,,,27,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"5.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
79,,,,27,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
80,,,,28,"App\Models\Tenant\QuestionOptions\Simple",94,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
81,,,,28,"App\Models\Tenant\QuestionOptions\Simple",95,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
82,,,,29,"App\Models\Tenant\QuestionOptions\Simple",1,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
83,,,,30,"App\Models\Tenant\QuestionOptions\Simple",2,,8,1,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
